Abs Mag,ColorIndex B-V
5.97222057420059,0.999
-1.1464684004746,-0.019
0.502286460923622,0.081
0.792104500673564,1.2
-0.395513919834326,0.955
1.382064235562,1.438
3.00357831972441,0.456
1.96993366361766,0.763
-1.04591088495232,1.453
1.95072775277004,0.514
1.67670274726791,1.15
5.53653125534099,0.778
2.66301170057037,0.475
0.592622689774402,1.032
-0.179914787125657,1.104
7.72139431729819,1.15
-1.34243527891042,1.164
2.62814824785504,0.616
7.17799215232672,1.03
3.23066985152555,0.551
5.92035784418689,0.863
4.12987205688283,0.52
-0.22927461813084,-0.047
2.19950798932231,0.495
6.30213559992216,0.94
-0.106047466184424,1.446
6.85087069403517,1.068
-1.55940008672038,1.524
5.41886144298481,0.642
1.07569217405691,0.43
-0.410128344353154,0.911
-0.0551332601459089,1.566
2.49405805436259,0.5
0.781410479178343,1.3
-2.44098139522021,2.835
-0.564393726401688,1.55
0.9669148505731,0.455
-0.513937431123281,0.97
-0.637935764438001,1.615
0.863636045132862,0.388
5.16027868875446,0.787
8.44564758790243,1.308
8.24118772583368,1.384
2.93474624247691,0.654
0.834305703689059,0.16
1.19240908849733,1.071
-0.352594573027946,1.197
0.626902476559748,1.254
0.735039796666681,1.169
-4.74750774378216,0.407
2.40921793972386,0.182
-0.653464417670879,0.545
5.15598028710244,0.62
0.432064235561998,1.153
-1.80416957817734,-0.042
1.84044628940867,1.074
3.35602181974072,0.73
6.86057188478101,1.033
-0.359985543246353,-0.128
8.06107306647676,0.932
1.4153063169585,1.06
2.17260897750603,0.411
-1.15288726980296,1.631
1.32477662509912,0.999
3.07200179351502,0.292
1.20219294733919,0.97
8.23773653562808,1.39
5.33248329899677,0.69
0.839415360368439,0.923
2.74603268770971,0.556
2.76738821726497,0.534
-1.23163139259481,1.832
-0.929100130080563,-0.15
5.84743485032284,0.888
0.719734758145941,0.182
9.23675012176133,1.49
2.81868624991165,0.315
2.15705680387293,0.517
0.287972046126101,0.074
-3.15050173795383,1.073
-7.8,0.085
2.1604730134524,1.003
-0.529186764796219,0.118
0.472525162024362,0.016
1.50633770415358,0.18
2.16680610015756,0.483
3.84025720173446,0.617
2.53546450319163,0.532
2.29220678219284,0.526
2.10909103989664,0.967
0.889209109380347,1.041
0.6141271347959,0.668
0.616148469335318,1.176
0.606231298701183,0.051
3.3267585119345,0.421
0.579798218685981,1.122
9.62795865355954,1.473
0.720489289678589,0.146
-3.91758525723032,0.332
3.44865196681428,0.636
2.95877588626737,0.353
0.168021016367989,-0.023
-1.03242492728684,1.408
0.94050272811695,0.353
1.59786172225046,1.071
3.69777266809431,0.563
2.57005397857605,0.401
5.25474414672202,0.78
0.837675140344267,0.06
0.328198168798882,-0.047
1.35518469310566,0.244
-1.09086003112141,1.629
4.21240445731338,0.741
2.80507400127048,0.303
0.953902792421847,0.355
1.62362565652349,0.314
0.621962751877134,0.992
1.32437557887708,1.003
0.226829282963664,-0.085
-4.35304996677544,0.274
-1.57341332625912,1.68
1.04346970962484,1.084
0.826508512531552,0.006
-0.255324464483103,-0.089
0.833919283598678,-0.058
6.99552491485704,1.1
6.56284193089654,0.855
-3.47251981043394,1.619
2.52111319184359,0.444
-2.45099135034887,0.159
1.31973565375756,1.249
-0.915324464483104,1.26
0.550240483560464,1.072
0.957302372592076,1.1
-0.630625721637542,-0.1
2.66592308815686,0.422
0.744186123525862,1.051
3.02973340839421,0.478
3.26124726198238,0.632
0.149464944929536,1.256
-1.74810198280631,0.025
-0.112293714857217,1.368
5.77866119475918,0.755
3.28132807149011,0.55
4.85097857935718,0.71
0.882622689774402,0.946
4.2111314363058,0.537
0.52992402295057,1.099
-0.933937431123281,-0.067
4.42198950474069,0.577
-0.57439739412091,1.288
1.47399914794423,0.437
0.827371145851506,0.068
9.64709701664659,1.472
1.08633770415358,1.128
1.95470174896468,0.174
7.46870510434622,1.076
-0.328038631574446,0.991
0.705472605407347,-0.006
0.0922864609236216,0.94
1.63245808879343,1.029
10.3623043552509,1.462
2.32001685791873,0.191
1.22645689059331,1.093
1.05651886415512,1.12
0.92726476444977,1.045
0.778034763602466,0.99
1.18167756707282,1.123
-1.01401971289756,1.62
-0.594308122614066,1.444
5.86176487225319,0.735
3.0748453669659,0.494
3.61442237769274,0.446
-0.0372866826093432,1.174
0.501944650251558,0.993
-0.831360819912036,1.444
0.131944650251558,1.187
7.84964780042294,1.41
4.83419636343161,0.636
0.260040265111567,0.901
1.62258482864275,0.414
4.48663196534675,0.595
4.54481915351811,0.596
5.63557209275452,0.92
0.525472605407347,1.564
1.79094558495699,0.3
1.07704799551359,0.239
-1.06801001050522,1.531
0.325691877385934,0.93
1.27408215594136,1.112
-7.64,0.126
-0.770630781441604,0.912
3.02073810439361,0.501
1.11232260121061,-0.03
4.44423459638615,0.687
1.57391137833195,0.459
-0.544660688641319,1.539
3.6553230351325,0.519
10.9463244570612,1.55
1.60249225621784,1.086
1.3671394830606,0.256
1.45007532111988,0.402
-1.82430958147982,-0.023
0.230586825559082,0.986
5.38601929514315,0.752
1.2135185857251,1.038
3.23035142943593,0.386
1.40740838245099,1.107
-0.254868169204698,1.123
0.478544159043439,0.955
1.70239996818428,0.203
0.946525230705547,1.054
2.94138127702109,0.419
1.01170183687521,0.407
0.73501631012894,1.441
0.17592294841212,0.133
